"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ENST00000316660.7-PMAIP1","OK",0,244.422020764767,0.788609529816499,"ENST00000316660.7-PMAIP1",0
"ENST00000415826.3-PLAAT3","OK",0,162.861851278013,0.52533505702445,"ENST00000415826.3-PLAAT3",0
"ENST00000811321.1-ENSG00000305495","OK",0,207.632727158084,0.669751445309226,"ENST00000811321.1-ENSG00000305495",0
"ENST00000260731.5-KIF11","OK",0,179.202122285384,0.578062077985207,"ENST00000260731.5-KIF11",0
"ENST00000303177.8-NSG2","OK",0,272.663792242542,0.879846853744715,"ENST00000303177.8-NSG2",0
"ENST00000417368.7-AASS","OK",0,163.22321133146,0.52662058149504,"ENST00000417368.7-AASS",0
"ENST00000319248.13-PRDX1","OK",0,169.917153507078,0.548119469458836,"ENST00000319248.13-PRDX1",0
"ENST00000282928.5-ZIC1","OK",0,206.094709117658,0.664982598738374,"ENST00000282928.5-ZIC1",0
"ENST00000305124.11-GAP43","OK",0,212.525822475912,0.685747361752701,"ENST00000305124.11-GAP43",0
"ENST00000692879.1-FOXD3-AS1","OK",0,173.20115792842,0.558628030187122,"ENST00000692879.1-FOXD3-AS1",0
"ENST00000261205.9-SYT1","OK",0,162.833364381389,0.525376678850239,"ENST00000261205.9-SYT1",0
"ENST00000264426.14-GRIA2","OK",0,157.840227754532,0.509230369419572,"ENST00000264426.14-GRIA2",0
"ENST00000323646.9-PLAAT3","OK",0,159.595313482272,0.514763093574875,"ENST00000323646.9-PLAAT3",0
"ENST00000261769.10-CDH1","OK",0,278.297742003031,0.897856465364295,"ENST00000261769.10-CDH1",0
"ENST00000302759.11-BUB1","OK",0,187.885496476424,0.606092192043947,"ENST00000302759.11-BUB1",0
"ENST00000227266.10-CTSC","OK",0,197.048208883535,0.635720488156537,"ENST00000227266.10-CTSC",0
"ENST00000454366.2-GTSE1","OK",0,166.834904726248,0.538186896426056,"ENST00000454366.2-GTSE1",0
